No,Category,Guideline,Description,Do,Don't,Code Good,Code Bad,Severity,Docs URL
1,MagicUI-Setup,Install via shadcn CLI or MCP,MagicUI components are copy-to-project via shadcn registry,npx shadcn@latest add <component-name> or use MagicUI MCP,npm install magicui (no such package exists),npx shadcn@latest add blur-fade,npm install magicui,High,https://magicui.design/docs/installation
2,MagicUI-Setup,Use MagicUI MCP for AI IDE integration,Install MagicUI MCP server for natural language component installation,npx @magicuidesign/cli@latest install cursor,Manual copy-paste from docs,npx @magicuidesign/cli@latest install cursor,Copy components manually,Medium,https://magicui.design/docs/mcp
3,MagicUI-Setup,Ensure framer-motion dependency,Most MagicUI components require framer-motion,npm install framer-motion before using animated components,Use without framer-motion,npm install framer-motion,Skip framer-motion installation,High,https://magicui.design/docs/installation
4,MagicUI-TextAnimations,Use BlurFade for entrance animations,BlurFade is the recommended default entrance effect for most content,BlurFade for section content cards and images,Custom fade animations from scratch,<BlurFade delay={0.25} inView>,<div className="animate-fade-in">,Medium,https://magicui.design/docs/components/blur-fade
5,MagicUI-TextAnimations,Use TextAnimate for hero headlines,TextAnimate supports word-by-word and character-by-character entrance,TextAnimate with stagger for hero headlines,Static headings on premium landing pages,<TextAnimate animation="slideUp" by="word">,<h1>Static Heading</h1>,Medium,https://magicui.design/docs/components/text-animate
6,MagicUI-TextAnimations,Use WordRotate for dynamic positioning statements,Cycle through multiple concept words in a single headline slot,WordRotate for multi-audience product positioning,Static single-value headlines,<WordRotate words={['startups','teams','enterprises']}/>,<h1>For startups</h1>,Low,https://magicui.design/docs/components/word-rotate
7,MagicUI-TextAnimations,Use MorphingText for AI/transformation products,MorphingText particle-morphs between words conveying transformation,MorphingText for AI capability showcase loops,MorphingText for static content pages,<MorphingText texts={['Generate','Analyze','Optimize']}/>,<TypewriterEffect/>,Medium,https://magicui.design/docs/components/morphing-text
8,MagicUI-TextAnimations,Use NumberTicker for metrics,NumberTicker animates numbers from 0 to target value on viewport entry,NumberTicker for social proof stats and dashboard metrics,Static numbers for achievements,<NumberTicker value={1000} className="text-4xl"/>,<span>1000+</span>,Low,https://magicui.design/docs/components/number-ticker
9,MagicUI-TextAnimations,Use TextReveal for scroll-driven storytelling,TextReveal unlocks words progressively as user scrolls,TextReveal for brand manifesto and about pages,TextReveal for short above-fold content,<TextReveal text="We believe in..."/>,Static long-form text,Low,https://magicui.design/docs/components/text-reveal
10,MagicUI-SpecialEffects,Use Globe for global reach narrative,Globe renders a WebGL 3D earth with animated connection arcs,Globe in hero for global platform products,Globe for local or non-global products,<Globe config={globeConfig}/>,<img src="world-map.svg"/>,Medium,https://magicui.design/docs/components/globe
11,MagicUI-SpecialEffects,Provide Globe mobile fallback,Globe is GPU-intensive and may underperform on mobile,Check devicePixelRatio and reduce globe size or use static on mobile,Globe at full size on all devices,if(isMobile) return <StaticMap/>,<Globe/> without mobile check,High,https://magicui.design/docs/components/globe
12,MagicUI-SpecialEffects,Use OrbitingCircles for relationship visualization,OrbitingCircles shows items orbiting a center point conveying ecosystem,OrbitingCircles for tech stack or integration showcases,OrbitingCircles for unrelated items,<OrbitingCircles><Icon1/><Icon2/></OrbitingCircles>,<div className="circle-layout">,Low,https://magicui.design/docs/components/orbiting-circles
13,MagicUI-SpecialEffects,Use AnimatedBeam for connection narratives,AnimatedBeam draws animated lines between elements,AnimatedBeam for AI agent flow or data pipeline diagrams,AnimatedBeam for decorative purposes without semantic meaning,<AnimatedBeam containerRef={container} fromRef={from} toRef={to}/>,SVG lines without animation,Low,https://magicui.design/docs/components/animated-beam
14,MagicUI-SpecialEffects,Use BentoGrid for feature showcases,BentoGrid provides a visually rich asymmetric feature grid,BentoGrid for SaaS feature sections,BentoGrid for simple uniform card grids,<BentoGrid><BentoCard.../></BentoGrid>,<div className="grid grid-cols-3">,Low,https://magicui.design/docs/components/bento-grid
15,MagicUI-SpecialEffects,Customize BentoGrid deeply to avoid template look,Default BentoGrid is recognizable; always customize colors and content,Customize gradient colors icons and background of each card,Use default MagicUI BentoGrid without modification,Custom gradients + unique icons per card,Default blue/purple MagicUI cards,High,https://magicui.design/docs/components/bento-grid
16,MagicUI-Backgrounds,Use GridPattern or DotPattern for subtle depth,Background patterns add spatial depth without competing with content,GridPattern with low opacity as section background,Solid flat color backgrounds for tech products,<GridPattern className="opacity-20 [mask-image:radial-gradient(...)]"/>,<div className="bg-gray-50">,Low,https://magicui.design/docs/components/grid-pattern
17,MagicUI-Backgrounds,Use FlickeringGrid for living tech aesthetics,FlickeringGrid creates a subtle animated grid with random cell flicker,FlickeringGrid for developer tools and data infrastructure products,FlickeringGrid for lifestyle or non-tech brands,<FlickeringGrid className="opacity-30" color="#6B7280"/>,Animated background for cooking blog,Low,https://magicui.design/docs/components/flickering-grid
